Zipcode,EstimatedPopulation,TotalWages,Result
3809,3288.0,73499577.0,22353.88594890511
3810,4380.0,95492802.0,21802.009589041096
3811,6432.0,203601097.0,31654.39940920398
3812,1554.0,21597153.0,13897.781853281853
3813,10476.0,178411680.0,17030.515463917527
3814,3858.0,59292974.0,15368.837221358217
3816,3644.0,61113540.0,16771.004390779362
3817,593.0,9094758.0,15336.860033726813
3818,7102.0,122894802.0,17304.25260490003
3819,14652.0,388880008.0,26541.087087087086
3820,24060.0,630653050.0,26211.681213632586
3821,767.0,19213109.0,25049.685788787483
3823,1578.0,54377884.0,34460.00253485425
3824,12300.0,397436230.0,32311.88861788618
3825,7780.0,202879727.0,26077.085732647814
3826,5674.0,154023072.0,27145.4127599577
3827,14300.0,395292620.0,27642.84055944056
3830,3543.0,60081681.0,16957.855207451314
3833,54858.0,1713315684.0,31231.82915891939
3835,5843.0,116002252.0,19853.20075303782
3836,1205.0,19716447.0,16362.196680497926
3837,2350.0,49739846.0,21165.89191489362
3838,1241.0,25120763.0,20242.35535858179
3839,6660.0,153334226.0,23023.15705705706
3840,3475.0,125697835.0,36172.03884892086
3841,5727.0,177439677.0,30983.00628601362
3842,26170.0,790973748.0,30224.445854031335
3843,1736.0,47087408.0,27124.082949308755
3844,2143.0,81832537.0,38185.97153523099
3845,1226.0,24069071.0,19632.194942903752
3846,867.0,20099621.0,23182.9538638985
3848,5457.0,147291344.0,26991.266996518232
3849,1144.0,21831742.0,19083.690559440558
3850,1563.0,23920674.0,15304.3339731286
3851,3495.0,76482541.0,21883.41659513591
3852,1052.0,21988672.0,20901.779467680608
3853,1028.0,16426976.0,15979.548638132295
3854,1918.0,90177924.0,47016.64442127216
3855,2431.0,57679233.0,23726.545865898806
3856,1636.0,60250235.0,36827.77200488998
3857,7523.0,204819403.0,27225.761398378305
3858,4002.0,115026943.0,28742.36456771614
3860,18510.0,340032120.0,18370.184764991896
3861,6248.0,178451896.0,28561.443021766965
3862,12762.0,488372073.0,38267.67536436295
3864,1353.0,21921249.0,16201.957871396895
3865,7051.0,186190432.0,26406.244787973337
3866,836.0,15941451.0,19068.72129186603
3867,16679.0,351572383.0,21078.7447089154
3868,14754.0,305275779.0,20691.05185034567
3869,2161.0,55097188.0,25496.15363257751
3870,4505.0,159358677.0,35373.73518312986
3871,554.0,20751877.0,37458.261732851985
3872,10215.0,189675888.0,18568.368869309837
3873,5363.0,146717035.0,27357.269252284168
3874,7725.0,173414668.0,22448.50071197411
3875,1412.0,26025912.0,18431.949008498585
3878,10059.0,216819156.0,21554.74261855055
3882,3992.0,58793412.0,14727.808617234468
3884,3653.0,90518188.0,24779.137147549958
3885,6872.0,251004191.0,36525.638969732245
3886,1273.0,20531879.0,16128.7344854674
3887,5454.0,106187178.0,19469.596259625963
3890,1714.0,28217372.0,16462.87747957993
3894,15936.0,343825077.0,21575.3687876506
3896,2282.0,40614546.0,17797.78527607362
3901,6250.0,137620043.0,22019.20688
3902,2032.0,52127169.0,25653.134350393702
3903,5703.0,144858467.0,25400.397510082414
3904,6326.0,139465378.0,22046.376541258298
3905,1725.0,43248076.0,25071.3484057971
3906,12333.0,277585161.0,22507.513257115057
3907,1331.0,26662318.0,20031.794139744554
3908,18894.0,461273676.0,24413.765004763416
3909,7886.0,207532657.0,26316.593583565813
3910,1165.0,21524869.0,18476.282403433477
3911,717.0,17907049.0,24974.963737796374
4001,1934.0,35436412.0,18322.86039296794
4002,12174.0,250271566.0,20557.87465089535
4004,503.0,10333767.0,20544.26838966203
4005,34932.0,693591784.0,19855.484484140616
4008,2627.0,54773431.0,20850.183098591548
4009,3643.0,63033114.0,17302.52923414768
4010,1171.0,17412468.0,14869.742100768573
4011,82865.0,1794119860.0,21651.117600917154
4015,2620.0,51686158.0,19727.541221374046
4020,1211.0,22479231.0,18562.535920726674
4021,16890.0,544559937.0,32241.559325044404
4022,913.0,16568392.0,18147.198247535598
4024,522.0,8523841.0,16329.197318007662
